No,Area,Status,Must fix before release?,What is the problem?,How to fix it,Applies to
1,Overall app readiness,Problem,Yes,"The app works for login temple search and maps but is NOT safe or complete enough to publish yet.","Fix all rows marked Must fix = Yes first. If you are in a hurry release on Android only not iPhone yet.",Both
2,Project folders,OK,No,"Your project has a mobile app web admin and shared code folders. Structure is fine.","No action needed. Optional: write a short note in a README explaining which folder is which.",Both
3,Git version control,Problem,Yes,"The project is not set up with Git. You cannot easily track changes or see what was uploaded by mistake.","Run git init. Add a .gitignore file. Never upload passwords API keys or keystore files.",Both
4,Duplicate backup files,Problem,No,"There are many extra copy files ending in _1 (example: package_1.json). They create confusion.","Search for files named *_1.* and delete the copies. Keep only the main file.",Both
5,Same code in two places,Needs work,No,"Firebase and API code exists in two different folders. They can get out of sync.","Pick one folder for shared code and delete or stop using the duplicate.",Both
6,Setup instructions missing,Problem,No,"There is no main guide explaining how to install and run the project.","Create a README at the project root with steps: install Node install packages run Android app.",Both
7,Mobile app guide missing,Problem,No,"The mobile app README is still the default template not written for TirthDarshi.","Update apps/CleanDD/README.md with your real app name and how to build the app.",Android
8,Secret keys not documented,Problem,No,"There is no sample env file showing which keys the app needs. Keys are written directly in code instead.","Create a .env.example file listing variable names only (no real keys). Move real keys into .env files.",Both
9,Automatic testing on upload,Problem,Yes,"Nothing runs tests automatically when code changes. Bugs can slip into releases.","Set up GitHub Actions (or similar) to run npm test and npm run lint on every change.",Both
10,Automatic app build for stores,Problem,Yes,"No system automatically builds the Play Store or App Store package.","Set up a build pipeline that creates a signed Android .aab file (and iOS build if needed) using secrets stored safely.",Both
11,App tests broken,Problem,Yes,"Only one test exists and it fails. Important flows are not tested.","Fix Jest config so tests can run. Add basic tests for login and loading temples. Run npm test until it passes.",Both
12,iPhone tests outdated,Problem,No,"iPhone test file still checks for old demo text from the React Native template.","Update or delete the old test in ios/CleanDDTests.",iOS only
13,Web admin tests missing,Problem,No,"The web admin panel has almost no tests.","Add tests only if you plan to use the web admin in production.",Web only
14,Code style warnings,Problem,No,"Running lint shows warnings and at least one error in App.js.","Open App.js fix the hook warning. Clean up lint warnings over time.",Android
15,Debug messages in app,Problem,No,"The app prints many debug messages (console.log) that users should not see in production.","Remove debug logs or wrap them so they only show during development. Test the release build.",Android
16,One file is too large,Problem,No,"TempleSearchScreen.js is almost 3000 lines. Hard to maintain and fix bugs.","Split it into smaller files: search logic map logic and UI components.",Android
17,No crash reporting,Problem,Yes,"If the app crashes in production you will not get reports.","Add Firebase Crashlytics or Sentry. Wrap the app in an error screen so it does not show a blank white screen.",Both
18,Android release settings,Needs work,No,"Android release build is mostly set up (version 1.0.9 compression on). Some unused settings remain.","Build a release APK/AAB and test on a real phone. Remove unused lines in build.gradle.",Android only
19,App signing password in code,Problem,Yes,"Your Play Store signing password is written in build.gradle as 123456. Anyone with the code can see it.","Remove passwords from build.gradle. Store them in environment variables or your CI secret vault. Use a strong password.",Android only
20,Signing key file in project,Problem,Yes,"The file thirtdarshi.keystore sits inside the app folder. If leaked someone can publish fake updates.","Keep the keystore only on your secure machine or CI. Do not share it publicly. If it was ever uploaded create a new key.",Android only
21,Android version for Play Store,OK,No,"Android targets the latest required API level (35). Good for Play Store.","No action needed. Check Google Play policy each year for updates.",Android only
22,Android permissions,OK,No,"Internet and location permissions are set correctly. Background location was removed which helps Play Store approval.","When submitting to Play Store explain that you use location for temple navigation.",Android only
23,Firebase link for Android,Needs work,No,"Firebase config file exists and includes your app package name but also old package names.","In Firebase Console confirm package com.thirtdarshi.app is registered with your release certificate fingerprint.",Android only
24,Release app file not found,Needs work,No,"A release was built before but no final .aab file was found ready to upload.","Run a full release build: cd android then ./gradlew bundleRelease. Test the output file before upload.",Android only
25,App shrinking rules,Needs work,No,"Code shrinking is on but some rules still say com.yourapp instead of your real package name.","In proguard-rules.pro change com.yourapp to com.thirtdarshi.app. Test release build for crashes.",Android only
26,Google Maps key visible,Problem,Yes,"Your Google Maps API key is saved in gradle.properties in plain text.","Move the key to a local file that is not shared. In Google Cloud restrict the key to your app package and certificate only.",Android only
27,Computer-specific Android file,Problem,No,"local.properties contains your personal computer paths. It should not be shared.","Make sure local.properties is never uploaded to Git. Each developer creates their own.",Android only
28,iPhone project exists,OK,No,"The iPhone folder and Xcode project exist. Basic structure is there.","No action if releasing Android only. For iPhone you need the fixes in rows 29-31.",iOS only
29,Firebase missing on iPhone,Problem,Yes,"GoogleService-Info.plist is missing. Login and database will not work on iPhone.","In Firebase Console add an iOS app. Download GoogleService-Info.plist and put it in apps/CleanDD/ios/CleanDD/.",iOS only
30,iPhone location message empty,Problem,Yes,"Apple requires a sentence explaining why you need location. Yours is blank so App Store will reject the app.","Open Info.plist and fill NSLocationWhenInUseUsageDescription with text like: We use your location to show nearby temples and give directions.",iOS only
31,App name mismatch on iPhone,Problem,No,"Android shows TirthDarshi but iPhone still shows CleanDD.","Change CFBundleDisplayName in Info.plist to TirthDarshi to match your brand.",iOS only
32,Apple privacy form,Needs work,No,"A privacy file exists on iPhone but collected data types are not listed.","Review Apple privacy requirements and fill in what data you collect (email location etc).",iOS only
33,Firebase keys in app code,Problem,Yes,"Firebase API keys are copied into JavaScript files. Anyone can extract them from the published app.","Add Firestore security rules (row 36). Turn on Firebase App Check. Create new keys in Firebase if old ones were public.",Both
34,Google Directions key in app,Problem,Yes,"The key for driving directions is in the app code. Others could use it and run up your bill.","In Google Cloud restrict the key. Better: move direction requests to a small server you control.",Both
35,Admin access too easy,Problem,Yes,"Anyone who signs up with email admin@temple.com gets admin powers. This is checked only inside the app not on the server.","Use Firebase Custom Claims: only your team gets an admin flag on the server. Block admin actions in Firestore rules.",Both
36,Database not locked down,Problem,Yes,"There are no security rule files. If rules in Firebase Console are open anyone could read or change temple data.","Create firestore.rules that allow: users read temples; only admins write. Deploy rules with Firebase CLI.",Both
37,Passwords and keys may be shared,Problem,Yes,"Some files try to hide secrets but keys are still inside code that could be uploaded.","Remove all real keys from code. Rotate (replace) any key that was ever in Git or shared. Use .env for secrets.",Both
38,iPhone network security,OK,No,"iPhone is configured to block unsafe HTTP connections. Good for security.","No action needed.",iOS only
39,Email login,OK,No,"Users can sign up and log in with email and password. Validation and error messages work.","Optional: require email verification before full access.",Both
40,Google login,Needs work,No,"Sign in with Google is set up but must be tested on a real release build.","Build a signed release APK. Test Google login. Add release SHA-1 fingerprint in Firebase Console if it fails.",Android
41,Terms checkbox on signup,OK,No,"New users must tick Terms and Conditions before creating an account.","No action needed. Also add the same terms link on the Play Store listing.",Both
42,Terms screen inside app,OK,No,"A Terms and Conditions screen exists with privacy and location sections.","Optional: ask a lawyer to review the text before launch.",Both
43,Privacy policy website link,Problem,Yes,"Play Store and App Store require a public privacy policy web page. None was found in the project.","Publish a privacy policy on your website (or GitHub Pages). Paste that URL in Play Console and App Store Connect.",Both
44,Google Maps legal text placeholder,Problem,No,"Maps navigation still shows placeholder text Your Company Name instead of your real company.","In App.js update termsAndConditionsDialogOptions with your real company name and legal text.",Both
45,Login required to use app,OK,No,"Users must log in before using temple features. Guest access is blocked.","No action needed unless you want guest browsing later.",Both
46,Loading all temples at once,Needs work,No,"The app downloads every temple from the database then filters on the phone. Fine for now slow when data grows.","Later: add database queries so the server returns only what is needed.",Both
47,Maps and navigation,Needs work,No,"Turn-by-turn navigation is integrated. Needs testing on real roads and slow phones.","Test navigation end-to-end. Watch Google Cloud billing for Maps usage.",Both
48,English and Telugu,Needs work,No,"The app supports English and Telugu in many places.","Review all screens for missing translations before launch.",Both
49,No internet message not used,Problem,No,"A no internet screen was built but is not connected to the app. It also needs a missing package.","Either: install netinfo package and wrap App.js with NetworkCheck — or delete NetworkCheck.js if not needed.",Both
50,Admin screen broken on phone,Problem,Yes,"The admin page on mobile will crash: imports are commented out wrong file picker API and wrong file read function.","In AdminScreen.js: uncomment imports from firebaseController; use DocumentPicker.pick(); use RNFS.readFile() for CSV. Test add edit delete.",Android
51,Web admin works better,Needs work,No,"The website admin panel looks more complete than the phone admin screen.","Decide: use web admin only for staff and fix phone admin OR remove phone admin from release.",Web
52,Backend server incomplete,Problem,No,"A small server folder exists but is broken and not used by the main app.","Ignore for launch if the app uses Firebase directly. Or fix imports and add package.json later.",Both
53,Old localhost references,Needs work,No,"Some code still mentions localhost:3001 but the app uses Firebase instead.","Remove or update old localhost URLs to avoid confusion.",Both
54,App libraries up to date,OK,No,"React Native and Firebase versions are modern.","Run npm audit occasionally and update packages with security fixes.",Both
55,Unused libraries,Needs work,No,"Some installed packages are not used or reference missing packages.","Remove unused packages like idb from mobile app. Fix or delete DivyaDesamsApp if unused.",Both
56,Security scan not run,Needs work,No,"No one has run npm audit to check for known vulnerabilities in packages.","In apps/CleanDD run: npm audit. Fix high and critical issues.",Both
57,Version numbers don't match,Needs work,No,"package.json says 0.0.1 but Android says 1.0.9.","Pick one version number and use it everywhere.",Both
58,App name branding,Needs work,No,"Internal name is CleanDD public name is TirthDarshi.","Decide final name for Play Store icon and listings. Use TirthDarshi everywhere users see it.",Both
59,Store privacy forms,Problem,Yes,"Google Play and Apple require forms describing what data you collect (email location etc).","In Play Console fill Data Safety form honestly. For Apple fill App Privacy section. Match your privacy policy.",Both
60,Best path to launch,Needs work,Yes,"Android is closer to ready than iPhone. Security and admin issues block both.","Recommended order: (1) Fix database rules and keys (2) Fix admin screen (3) Fix signing and secrets (4) Add privacy policy URL (5) Build and test release AAB (6) Submit to Play Store. Do iPhone after rows 29-30 are fixed.",Android first
