No,Area,What is the problem?,Fix by,How to fix it,Status
1,Overall readiness,App is not ready to upload to Play Store yet.,Manual,Work through rows where Fix by = Manual or Both and Status != Done. Ignore Skip rows.,Problem
36,Database security,Published firestore.rules in Firebase Console.,Manua;,Done. Normal users read-only; admin@temple.com can write.,Done
35,Admin security,App blocks admin@temple.com on mobile; rules allow only that email to write.,Manual,Create admin@temple.com only in Firebase Console (Add user). Never share password.,Done
33,Firebase keys exposed,Protected by Firestore rules + API key restrictions + App Check.,Manua;,Done. Keep rules strict.,Done
34,Directions API key exposed,Google Directions key may still be in app code.,Manual,Confirm Directions API key restricted to com.thirtdarshi.app in Google Cloud. Set billing alerts.,Done
50,Mobile admin screen,Web-only admin; mobile admin removed.,Cursor,Done. Use apps/web for admin.,Done
19,Signing password in code,Password moved out of build.gradle.,Cursor,Done. keystore.properties (gitignored) + thirtdarshi-new.keystore.,Done
20,Keystore in project folder,Keystore file is inside app folder.,Both,Manual: back up keystore + password offline. Cursor: .gitignore covers *.keystore and keystore.properties (done).,Done
26,Maps key in plain text,Maps key in gradle.properties locally.,Both,Manual: confirm key restricted in Google Cloud. Cursor: gradle.properties gitignored (done).,Done
43,Privacy policy website,Play Store requires a public privacy policy link.,Manual,Write privacy policy. Host on website. Add URL in Play Console.,Done
59,Play Store data form,Google requires Data safety form.,Manual,Complete Data safety in Play Console. Match in-app Terms.,Done
37,Secrets in code,Firebase/Maps keys in project; signing externalized.,Both,Manual: GCP restrictions. Cursor: .env.example added; signing in keystore.properties (done).,Done
3,Git not set up,No Git repo.,Cursor,Done. git init at repo root. Manual: create GitHub repo and push when ready.,Done
9,No automatic tests,Nothing ran tests on code changes.,Cursor,Done. .github/workflows/cleandd-ci.yml runs npm test + eslint on apps/CleanDD.,Done
10,No automatic build,Release builds manual.,Both,Cursor: CI runs test/lint (done). Manual: add signed .aab workflow with GitHub secrets for keystore.,Partial
11,Tests failing,Jest failed on App.test.tsx.,Cursor,Done. adminConfig.test.js passes (3 tests). jest.setup.js mocks native modules.,Done
17,No crash reports,No crash reporting in production.,Both,Cursor: add Crashlytics code (optional). Manual: enable in Firebase Console.,Problem
24,Release file missing,No final .aab ready to upload.,Both,Done. app-release.aab at android/app/build/outputs/bundle/release/ (~74 MB). Manual: install and test on a real phone before upload.,Done
